scenario_name,scenario_index,run_index,status,Year,Share_EV_init,Solar_Installed_MW,Wind_Installed_MW,Baseload_Installed_MW,Grid_Store_Max_MWh,Factor_V2G,Factor_NSC,Factor_Smart_Charge,V2G_Connect_Cost,NG_Fact,NG_Installed,SC_CR,V2G_CR,V2G_DR,SC_Floor,V2G_Floor,Cap,pass_count,min_pass_count,Combined_LCOE,Carbon_Adjusted_LCOE_SCC_51,Carbon_Adjusted_LCOE_SCC_120,Carbon_Adjusted_LCOE_SCC_190,Carbon_Adjusted_LCOE_SCC_340,Total_Deficit,Curtailment,V2G_Total,Total_GS_Used,Total_Grid_CO2_Tonnes,Combined_LCOE_mean,Combined_LCOE_std,Combined_LCOE_min,Combined_LCOE_max,Carbon_Adjusted_LCOE_SCC_51_mean,Carbon_Adjusted_LCOE_SCC_51_std,Carbon_Adjusted_LCOE_SCC_51_min,Carbon_Adjusted_LCOE_SCC_51_max,Carbon_Adjusted_LCOE_SCC_120_mean,Carbon_Adjusted_LCOE_SCC_120_std,Carbon_Adjusted_LCOE_SCC_120_min,Carbon_Adjusted_LCOE_SCC_120_max,Carbon_Adjusted_LCOE_SCC_190_mean,Carbon_Adjusted_LCOE_SCC_190_std,Carbon_Adjusted_LCOE_SCC_190_min,Carbon_Adjusted_LCOE_SCC_190_max,Carbon_Adjusted_LCOE_SCC_340_mean,Carbon_Adjusted_LCOE_SCC_340_std,Carbon_Adjusted_LCOE_SCC_340_min,Carbon_Adjusted_LCOE_SCC_340_max,successful_runs,attempted_runs,passing_lcoes_pipe,failure_reasons
baseline,0,11,success,2050,0.98,30000.0,60000.0,20000.0,10000.0,0.5,0.15,0.85,2000.0,0.0,0.0,0.0475,0.0475,0.0475,30,30,0.8,1,1,87.07350868164319,88.15427704742879,89.61649307172696,91.09990063260916,94.27863112021387,62338692.156698905,28601692.55426925,1124789.714054789,1.0,6766109.763352525,87.07290579119044,0.26763129096391514,86.51444892682022,87.75546084526569,88.1518025026997,0.2701303908247068,87.5921096776259,88.84005720744051,89.6114862888593,0.27352855282395433,89.05012128165711,90.30745228567703,91.09232491249949,0.27699529601858364,90.52926348864531,91.79611395925032,94.26555053458559,0.28448629482649024,93.69885393219143,94.98610325976449,46,50,87.012209|87.127247|87.201856|87.247483|86.556954|86.863991|86.767870|87.191156|86.514449|87.349376|87.073509|87.082110|87.162346|87.552969|86.975341|87.027828|86.719078|87.269579|87.055360|87.755461|86.811498|86.866855|86.664193|86.913480|86.936969|86.922745|87.370154|86.891212|87.315129|86.811462|87.289998|86.828224|86.913385|87.191664|87.309783|87.272172|87.040862|87.226376|87.377607|86.575233|87.146100|87.478155|87.209876|87.217215|87.317183|86.949964,
baseline,0,12,success,2050,0.98,30000.0,60000.0,20000.0,10000.0,0.5,0.15,0.85,2000.0,0.0,0.0,0.0475,0.0475,0.0475,30,30,0.8,1,1,87.08211036951012,88.15937388411055,89.61684805092288,91.095445031747,94.26386713351296,62798295.33364367,29384844.93168035,1225009.9829617452,1.0,6771161.391133407,87.07290579119044,0.26763129096391514,86.51444892682022,87.75546084526569,88.1518025026997,0.2701303908247068,87.5921096776259,88.84005720744051,89.6114862888593,0.27352855282395433,89.05012128165711,90.30745228567703,91.09232491249949,0.27699529601858364,90.52926348864531,91.79611395925032,94.26555053458559,0.28448629482649024,93.69885393219143,94.98610325976449,46,50,87.012209|87.127247|87.201856|87.247483|86.556954|86.863991|86.767870|87.191156|86.514449|87.349376|87.073509|87.082110|87.162346|87.552969|86.975341|87.027828|86.719078|87.269579|87.055360|87.755461|86.811498|86.866855|86.664193|86.913480|86.936969|86.922745|87.370154|86.891212|87.315129|86.811462|87.289998|86.828224|86.913385|87.191664|87.309783|87.272172|87.040862|87.226376|87.377607|86.575233|87.146100|87.478155|87.209876|87.217215|87.317183|86.949964,
baseline,0,13,success,2050,0.98,30000.0,60000.0,20000.0,10000.0,0.5,0.15,0.85,2000.0,0.0,0.0,0.0475,0.0475,0.0475,30,30,0.8,1,1,87.16234573759897,88.24293340100978,89.7049049456244,91.18806448363924,94.36626349367103,61598336.042307585,29630748.428582367,1183607.6774684854,1.0,6785151.966113274,87.07290579119044,0.26763129096391514,86.51444892682022,87.75546084526569,88.1518025026997,0.2701303908247068,87.5921096776259,88.84005720744051,89.6114862888593,0.27352855282395433,89.05012128165711,90.30745228567703,91.09232491249949,0.27699529601858364,90.52926348864531,91.79611395925032,94.26555053458559,0.28448629482649024,93.69885393219143,94.98610325976449,46,50,87.012209|87.127247|87.201856|87.247483|86.556954|86.863991|86.767870|87.191156|86.514449|87.349376|87.073509|87.082110|87.162346|87.552969|86.975341|87.027828|86.719078|87.269579|87.055360|87.755461|86.811498|86.866855|86.664193|86.913480|86.936969|86.922745|87.370154|86.891212|87.315129|86.811462|87.289998|86.828224|86.913385|87.191664|87.309783|87.272172|87.040862|87.226376|87.377607|86.575233|87.146100|87.478155|87.209876|87.217215|87.317183|86.949964,
baseline,0,14,success,2050,0.98,30000.0,60000.0,20000.0,10000.0,0.5,0.15,0.85,2000.0,0.0,0.0,0.0475,0.0475,0.0475,30,30,0.8,1,1,87.55296910157338,88.63646770239497,90.10237757409476,91.5895325163989,94.77629310705062,62267505.10253737,29431667.1724148,1230239.5288762932,1.0,6770858.621634724,87.07290579119044,0.26763129096391514,86.51444892682022,87.75546084526569,88.1518025026997,0.2701303908247068,87.5921096776259,88.84005720744051,89.6114862888593,0.27352855282395433,89.05012128165711,90.30745228567703,91.09232491249949,0.27699529601858364,90.52926348864531,91.79611395925032,94.26555053458559,0.28448629482649024,93.69885393219143,94.98610325976449,46,50,87.012209|87.127247|87.201856|87.247483|86.556954|86.863991|86.767870|87.191156|86.514449|87.349376|87.073509|87.082110|87.162346|87.552969|86.975341|87.027828|86.719078|87.269579|87.055360|87.755461|86.811498|86.866855|86.664193|86.913480|86.936969|86.922745|87.370154|86.891212|87.315129|86.811462|87.289998|86.828224|86.913385|87.191664|87.309783|87.272172|87.040862|87.226376|87.377607|86.575233|87.146100|87.478155|87.209876|87.217215|87.317183|86.949964,
baseline,0,15,success,2050,0.98,30000.0,60000.0,20000.0,10000.0,0.5,0.15,0.85,2000.0,0.0,0.0,0.0475,0.0475,0.0475,30,30,0.8,1,1,86.9753412009101,88.05164341416274,89.50781699679868,90.98509454440035,94.15068928926108,62177414.457212724,28751210.849648852,1210171.0579637105,1.0,6770217.235044253,87.07290579119044,0.26763129096391514,86.51444892682022,87.75546084526569,88.1518025026997,0.2701303908247068,87.5921096776259,88.84005720744051,89.6114862888593,0.27352855282395433,89.05012128165711,90.30745228567703,91.09232491249949,0.27699529601858364,90.52926348864531,91.79611395925032,94.26555053458559,0.28448629482649024,93.69885393219143,94.98610325976449,46,50,87.012209|87.127247|87.201856|87.247483|86.556954|86.863991|86.767870|87.191156|86.514449|87.349376|87.073509|87.082110|87.162346|87.552969|86.975341|87.027828|86.719078|87.269579|87.055360|87.755461|86.811498|86.866855|86.664193|86.913480|86.936969|86.922745|87.370154|86.891212|87.315129|86.811462|87.289998|86.828224|86.913385|87.191664|87.309783|87.272172|87.040862|87.226376|87.377607|86.575233|87.146100|87.478155|87.209876|87.217215|87.317183|86.949964,
baseline,0,16,success,2050,0.98,30000.0,60000.0,20000.0,10000.0,0.5,0.15,0.85,2000.0,0.0,0.0,0.0475,0.0475,0.0475,30,30,0.8,1,1,87.02782829273994,88.10483614417075,89.5619644137536,91.0402104843449,94.20788063561196,62437069.75611622,28869034.264304165,1075797.3470202407,1.0,6768664.837347592,87.07290579119044,0.26763129096391514,86.51444892682022,87.75546084526569,88.1518025026997,0.2701303908247068,87.5921096776259,88.84005720744051,89.6114862888593,0.27352855282395433,89.05012128165711,90.30745228567703,91.09232491249949,0.27699529601858364,90.52926348864531,91.79611395925032,94.26555053458559,0.28448629482649024,93.69885393219143,94.98610325976449,46,50,87.012209|87.127247|87.201856|87.247483|86.556954|86.863991|86.767870|87.191156|86.514449|87.349376|87.073509|87.082110|87.162346|87.552969|86.975341|87.027828|86.719078|87.269579|87.055360|87.755461|86.811498|86.866855|86.664193|86.913480|86.936969|86.922745|87.370154|86.891212|87.315129|86.811462|87.289998|86.828224|86.913385|87.191664|87.309783|87.272172|87.040862|87.226376|87.377607|86.575233|87.146100|87.478155|87.209876|87.217215|87.317183|86.949964,
baseline,0,17,success,2050,0.98,30000.0,60000.0,20000.0,10000.0,0.5,0.15,0.85,2000.0,0.0,0.0,0.0475,0.0475,0.0475,30,30,0.8,1,1,86.71907832974236,87.79109066300877,89.2414602903692,90.71284976740154,93.8658272181851,62521388.29244147,29324882.382928073,1209142.7460834184,1.0,6781866.302612046,87.07290579119044,0.26763129096391514,86.51444892682022,87.75546084526569,88.1518025026997,0.2701303908247068,87.5921096776259,88.84005720744051,89.6114862888593,0.27352855282395433,89.05012128165711,90.30745228567703,91.09232491249949,0.27699529601858364,90.52926348864531,91.79611395925032,94.26555053458559,0.28448629482649024,93.69885393219143,94.98610325976449,46,50,87.012209|87.127247|87.201856|87.247483|86.556954|86.863991|86.767870|87.191156|86.514449|87.349376|87.073509|87.082110|87.162346|87.552969|86.975341|87.027828|86.719078|87.269579|87.055360|87.755461|86.811498|86.866855|86.664193|86.913480|86.936969|86.922745|87.370154|86.891212|87.315129|86.811462|87.289998|86.828224|86.913385|87.191664|87.309783|87.272172|87.040862|87.226376|87.377607|86.575233|87.146100|87.478155|87.209876|87.217215|87.317183|86.949964,
baseline,0,18,success,2050,0.98,30000.0,60000.0,20000.0,10000.0,0.5,0.15,0.85,2000.0,0.0,0.0,0.0475,0.0475,0.0475,30,30,0.8,1,1,87.26957890071871,88.34718558914803,89.80512404996416,91.28419205369067,94.45362349024748,61888486.726900816,28799689.042839885,942029.0877045827,1.0,6759442.147228569,87.07290579119044,0.26763129096391514,86.51444892682022,87.75546084526569,88.1518025026997,0.2701303908247068,87.5921096776259,88.84005720744051,89.6114862888593,0.27352855282395433,89.05012128165711,90.30745228567703,91.09232491249949,0.27699529601858364,90.52926348864531,91.79611395925032,94.26555053458559,0.28448629482649024,93.69885393219143,94.98610325976449,46,50,87.012209|87.127247|87.201856|87.247483|86.556954|86.863991|86.767870|87.191156|86.514449|87.349376|87.073509|87.082110|87.162346|87.552969|86.975341|87.027828|86.719078|87.269579|87.055360|87.755461|86.811498|86.866855|86.664193|86.913480|86.936969|86.922745|87.370154|86.891212|87.315129|86.811462|87.289998|86.828224|86.913385|87.191664|87.309783|87.272172|87.040862|87.226376|87.377607|86.575233|87.146100|87.478155|87.209876|87.217215|87.317183|86.949964,
baseline,0,19,success,2050,0.98,30000.0,60000.0,20000.0,10000.0,0.5,0.15,0.85,2000.0,0.0,0.0,0.0475,0.0475,0.0475,30,30,0.8,1,1,87.05536013034086,88.133159560993,89.59135879069883,91.07069134257432,94.24068966802179,62300586.005640835,28264498.195805646,1157992.3412053268,1.0,6762476.845234698,87.07290579119044,0.26763129096391514,86.51444892682022,87.75546084526569,88.1518025026997,0.2701303908247068,87.5921096776259,88.84005720744051,89.6114862888593,0.27352855282395433,89.05012128165711,90.30745228567703,91.09232491249949,0.27699529601858364,90.52926348864531,91.79611395925032,94.26555053458559,0.28448629482649024,93.69885393219143,94.98610325976449,46,50,87.012209|87.127247|87.201856|87.247483|86.556954|86.863991|86.767870|87.191156|86.514449|87.349376|87.073509|87.082110|87.162346|87.552969|86.975341|87.027828|86.719078|87.269579|87.055360|87.755461|86.811498|86.866855|86.664193|86.913480|86.936969|86.922745|87.370154|86.891212|87.315129|86.811462|87.289998|86.828224|86.913385|87.191664|87.309783|87.272172|87.040862|87.226376|87.377607|86.575233|87.146100|87.478155|87.209876|87.217215|87.317183|86.949964,
baseline,0,20,success,2050,0.98,30000.0,60000.0,20000.0,10000.0,0.5,0.15,0.85,2000.0,0.0,0.0,0.0475,0.0475,0.0475,30,30,0.8,1,1,87.75546084526569,88.84005720744051,90.30745228567703,91.79611395925032,94.98610325976449,62676643.01637122,28943531.388113506,1210494.9821480445,1.0,6764445.3791777035,87.07290579119044,0.26763129096391514,86.51444892682022,87.75546084526569,88.1518025026997,0.2701303908247068,87.5921096776259,88.84005720744051,89.6114862888593,0.27352855282395433,89.05012128165711,90.30745228567703,91.09232491249949,0.27699529601858364,90.52926348864531,91.79611395925032,94.26555053458559,0.28448629482649024,93.69885393219143,94.98610325976449,46,50,87.012209|87.127247|87.201856|87.247483|86.556954|86.863991|86.767870|87.191156|86.514449|87.349376|87.073509|87.082110|87.162346|87.552969|86.975341|87.027828|86.719078|87.269579|87.055360|87.755461|86.811498|86.866855|86.664193|86.913480|86.936969|86.922745|87.370154|86.891212|87.315129|86.811462|87.289998|86.828224|86.913385|87.191664|87.309783|87.272172|87.040862|87.226376|87.377607|86.575233|87.146100|87.478155|87.209876|87.217215|87.317183|86.949964,
baseline,0,21,success,2050,0.98,30000.0,60000.0,20000.0,10000.0,0.5,0.15,0.85,2000.0,0.0,0.0,0.0475,0.0475,0.0475,30,30,0.8,1,1,86.81149799512659,87.89063803729105,89.35065103551356,90.83182364240596,94.00576494288968,62008631.851508595,29245103.717582382,1096664.109674683,1.0,6781160.185881748,87.07290579119044,0.26763129096391514,86.51444892682022,87.75546084526569,88.1518025026997,0.2701303908247068,87.5921096776259,88.84005720744051,89.6114862888593,0.27352855282395433,89.05012128165711,90.30745228567703,91.09232491249949,0.27699529601858364,90.52926348864531,91.79611395925032,94.26555053458559,0.28448629482649024,93.69885393219143,94.98610325976449,46,50,87.012209|87.127247|87.201856|87.247483|86.556954|86.863991|86.767870|87.191156|86.514449|87.349376|87.073509|87.082110|87.162346|87.552969|86.975341|87.027828|86.719078|87.269579|87.055360|87.755461|86.811498|86.866855|86.664193|86.913480|86.936969|86.922745|87.370154|86.891212|87.315129|86.811462|87.289998|86.828224|86.913385|87.191664|87.309783|87.272172|87.040862|87.226376|87.377607|86.575233|87.146100|87.478155|87.209876|87.217215|87.317183|86.949964,
