BL_installed,Factor_V2G,Grid_Store_Max,Wind_Installed,Solar_Installed,CR,Cap,V2G_Connect_Cost,Power_Capacity
15000.0,0.5,15000.0,18.75,50000.0,0.0259,0.8,2000,353118140.17
15000.0,0.5,15000.0,18.75,50000.0,0.0331,0.8,2000,353118140.17
15000.0,0.5,15000.0,18.75,50000.0,0.0403,0.8,2000,353118140.17
15000.0,0.5,15000.0,18.75,50000.0,0.0475,0.8,2000,353118140.17
15000.0,0.5,20000.0,18.75,40000.0,0.0187,0.8,2000,331031703.28000003
15000.0,0.5,20000.0,18.75,40000.0,0.0259,0.8,2000,331031703.28000003
15000.0,0.5,20000.0,18.75,40000.0,0.0331,0.8,2000,331031703.28000003
15000.0,0.5,20000.0,18.75,40000.0,0.0403,0.8,2000,331031703.28000003
15000.0,0.5,20000.0,18.75,40000.0,0.0475,0.8,2000,331031703.28000003
15000.0,0.5,20000.0,18.75,50000.0,0.0187,0.8,2000,353118140.17
15000.0,0.5,20000.0,18.75,50000.0,0.0259,0.8,2000,353118140.17
15000.0,0.5,20000.0,18.75,50000.0,0.0331,0.8,2000,353118140.17
15000.0,0.5,20000.0,18.75,50000.0,0.0403,0.8,2000,353118140.17
15000.0,0.5,20000.0,18.75,50000.0,0.0475,0.8,2000,353118140.17
15000.0,0.5,25000.0,15.625,50000.0,0.0187,0.8,2000,333199647.79
15000.0,0.5,25000.0,15.625,50000.0,0.0259,0.8,2000,333199647.79
15000.0,0.5,25000.0,15.625,50000.0,0.0331,0.8,2000,333199647.79
15000.0,0.5,25000.0,15.625,50000.0,0.0403,0.8,2000,333199647.79
15000.0,0.5,25000.0,15.625,50000.0,0.0475,0.8,2000,333199647.79
15000.0,0.5,25000.0,18.75,40000.0,0.0187,0.8,2000,331031703.28000003
15000.0,0.5,25000.0,18.75,40000.0,0.0259,0.8,2000,331031703.28000003
15000.0,0.5,25000.0,18.75,40000.0,0.0331,0.8,2000,331031703.28000003
15000.0,0.5,25000.0,18.75,40000.0,0.0403,0.8,2000,331031703.28000003
15000.0,0.5,25000.0,18.75,40000.0,0.0475,0.8,2000,331031703.28000003
15000.0,0.5,25000.0,18.75,50000.0,0.0187,0.8,2000,353118140.17
15000.0,0.5,25000.0,18.75,50000.0,0.0259,0.8,2000,353118140.17
15000.0,0.5,25000.0,18.75,50000.0,0.0331,0.8,2000,353118140.17
15000.0,0.5,25000.0,18.75,50000.0,0.0403,0.8,2000,353118140.17
15000.0,0.5,25000.0,18.75,50000.0,0.0475,0.8,2000,353118140.17
15000.0,0.5,30000.0,15.625,40000.0,0.0187,0.8,2000,311113210.90000004
15000.0,0.5,30000.0,15.625,40000.0,0.0259,0.8,2000,311113210.90000004
15000.0,0.5,30000.0,15.625,40000.0,0.0331,0.8,2000,311113210.90000004
15000.0,0.5,30000.0,15.625,40000.0,0.0403,0.8,2000,311113210.90000004
15000.0,0.5,30000.0,15.625,40000.0,0.0475,0.8,2000,311113210.90000004
15000.0,0.5,30000.0,15.625,50000.0,0.0187,0.8,2000,333199647.79
15000.0,0.5,30000.0,15.625,50000.0,0.0259,0.8,2000,333199647.79
15000.0,0.5,30000.0,15.625,50000.0,0.0331,0.8,2000,333199647.79
15000.0,0.5,30000.0,15.625,50000.0,0.0403,0.8,2000,333199647.79
15000.0,0.5,30000.0,15.625,50000.0,0.0475,0.8,2000,333199647.79
15000.0,0.5,30000.0,18.75,30000.0,0.0187,0.8,2000,308945266.39000005
15000.0,0.5,30000.0,18.75,30000.0,0.0259,0.8,2000,308945266.39000005
15000.0,0.5,30000.0,18.75,30000.0,0.0331,0.8,2000,308945266.39000005
15000.0,0.5,30000.0,18.75,30000.0,0.0403,0.8,2000,308945266.39000005
15000.0,0.5,30000.0,18.75,30000.0,0.0475,0.8,2000,308945266.39000005
15000.0,0.5,30000.0,18.75,40000.0,0.0187,0.8,2000,331031703.28000003
15000.0,0.5,30000.0,18.75,40000.0,0.0259,0.8,2000,331031703.28000003
15000.0,0.5,30000.0,18.75,40000.0,0.0331,0.8,2000,331031703.28000003
15000.0,0.5,30000.0,18.75,40000.0,0.0403,0.8,2000,331031703.28000003
15000.0,0.5,30000.0,18.75,40000.0,0.0475,0.8,2000,331031703.28000003
15000.0,0.5,30000.0,18.75,50000.0,0.0187,0.8,2000,353118140.17
15000.0,0.5,30000.0,18.75,50000.0,0.0259,0.8,2000,353118140.17
15000.0,0.5,30000.0,18.75,50000.0,0.0331,0.8,2000,353118140.17
15000.0,0.5,30000.0,18.75,50000.0,0.0403,0.8,2000,353118140.17
15000.0,0.5,30000.0,18.75,50000.0,0.0475,0.8,2000,353118140.17
15000.0,0.7,10000.0,18.75,50000.0,0.0187,0.8,2000,353118140.17
15000.0,0.7,10000.0,18.75,50000.0,0.0259,0.8,2000,353118140.17
15000.0,0.7,10000.0,18.75,50000.0,0.0331,0.8,2000,353118140.17
15000.0,0.7,10000.0,18.75,50000.0,0.0403,0.8,2000,353118140.17
15000.0,0.7,10000.0,18.75,50000.0,0.0475,0.8,2000,353118140.17
15000.0,0.7,15000.0,15.625,50000.0,0.0187,0.8,2000,333199647.79
15000.0,0.7,15000.0,15.625,50000.0,0.0259,0.8,2000,333199647.79
15000.0,0.7,15000.0,15.625,50000.0,0.0331,0.8,2000,333199647.79
15000.0,0.7,15000.0,15.625,50000.0,0.0403,0.8,2000,333199647.79
15000.0,0.7,15000.0,15.625,50000.0,0.0475,0.8,2000,333199647.79
15000.0,0.7,15000.0,18.75,40000.0,0.0187,0.8,2000,331031703.28000003
15000.0,0.7,15000.0,18.75,40000.0,0.0259,0.8,2000,331031703.28000003
15000.0,0.7,15000.0,18.75,40000.0,0.0331,0.8,2000,331031703.28000003
15000.0,0.7,15000.0,18.75,40000.0,0.0403,0.8,2000,331031703.28000003
15000.0,0.7,15000.0,18.75,40000.0,0.0475,0.8,2000,331031703.28000003
15000.0,0.7,15000.0,18.75,50000.0,0.0187,0.8,2000,353118140.17
15000.0,0.7,15000.0,18.75,50000.0,0.0259,0.8,2000,353118140.17
15000.0,0.7,15000.0,18.75,50000.0,0.0331,0.8,2000,353118140.17
15000.0,0.7,15000.0,18.75,50000.0,0.0403,0.8,2000,353118140.17
15000.0,0.7,15000.0,18.75,50000.0,0.0475,0.8,2000,353118140.17
15000.0,0.7,20000.0,15.625,50000.0,0.0187,0.8,2000,333199647.79
15000.0,0.7,20000.0,15.625,50000.0,0.0259,0.8,2000,333199647.79
15000.0,0.7,20000.0,15.625,50000.0,0.0331,0.8,2000,333199647.79
15000.0,0.7,20000.0,15.625,50000.0,0.0403,0.8,2000,333199647.79
15000.0,0.7,20000.0,15.625,50000.0,0.0475,0.8,2000,333199647.79
15000.0,0.7,20000.0,18.75,40000.0,0.0187,0.8,2000,331031703.28000003
15000.0,0.7,20000.0,18.75,40000.0,0.0259,0.8,2000,331031703.28000003
15000.0,0.7,20000.0,18.75,40000.0,0.0331,0.8,2000,331031703.28000003
15000.0,0.7,20000.0,18.75,40000.0,0.0403,0.8,2000,331031703.28000003
15000.0,0.7,20000.0,18.75,40000.0,0.0475,0.8,2000,331031703.28000003
15000.0,0.7,20000.0,18.75,50000.0,0.0187,0.8,2000,353118140.17
15000.0,0.7,20000.0,18.75,50000.0,0.0259,0.8,2000,353118140.17
15000.0,0.7,20000.0,18.75,50000.0,0.0331,0.8,2000,353118140.17
15000.0,0.7,20000.0,18.75,50000.0,0.0403,0.8,2000,353118140.17
15000.0,0.7,20000.0,18.75,50000.0,0.0475,0.8,2000,353118140.17
15000.0,0.7,25000.0,12.5,50000.0,0.0187,0.8,2000,313281155.41
15000.0,0.7,25000.0,12.5,50000.0,0.0259,0.8,2000,313281155.41
15000.0,0.7,25000.0,12.5,50000.0,0.0331,0.8,2000,313281155.41
15000.0,0.7,25000.0,12.5,50000.0,0.0403,0.8,2000,313281155.41
15000.0,0.7,25000.0,12.5,50000.0,0.0475,0.8,2000,313281155.41
15000.0,0.7,25000.0,15.625,40000.0,0.0187,0.8,2000,311113210.90000004
15000.0,0.7,25000.0,15.625,40000.0,0.0259,0.8,2000,311113210.90000004
15000.0,0.7,25000.0,15.625,40000.0,0.0331,0.8,2000,311113210.90000004
15000.0,0.7,25000.0,15.625,40000.0,0.0403,0.8,2000,311113210.90000004
15000.0,0.7,25000.0,15.625,40000.0,0.0475,0.8,2000,311113210.90000004
15000.0,0.7,25000.0,15.625,50000.0,0.0187,0.8,2000,333199647.79
15000.0,0.7,25000.0,15.625,50000.0,0.0259,0.8,2000,333199647.79
15000.0,0.7,25000.0,15.625,50000.0,0.0331,0.8,2000,333199647.79
15000.0,0.7,25000.0,15.625,50000.0,0.0403,0.8,2000,333199647.79
15000.0,0.7,25000.0,15.625,50000.0,0.0475,0.8,2000,333199647.79
15000.0,0.7,25000.0,18.75,30000.0,0.0187,0.8,2000,308945266.39000005
15000.0,0.7,25000.0,18.75,30000.0,0.0259,0.8,2000,308945266.39000005
15000.0,0.7,25000.0,18.75,30000.0,0.0331,0.8,2000,308945266.39000005
15000.0,0.7,25000.0,18.75,30000.0,0.0403,0.8,2000,308945266.39000005
15000.0,0.7,25000.0,18.75,30000.0,0.0475,0.8,2000,308945266.39000005
15000.0,0.7,25000.0,18.75,40000.0,0.0187,0.8,2000,331031703.28000003
15000.0,0.7,25000.0,18.75,40000.0,0.0259,0.8,2000,331031703.28000003
15000.0,0.7,25000.0,18.75,40000.0,0.0331,0.8,2000,331031703.28000003
15000.0,0.7,25000.0,18.75,40000.0,0.0403,0.8,2000,331031703.28000003
15000.0,0.7,25000.0,18.75,40000.0,0.0475,0.8,2000,331031703.28000003
15000.0,0.7,25000.0,18.75,50000.0,0.0187,0.8,2000,353118140.17
15000.0,0.7,25000.0,18.75,50000.0,0.0259,0.8,2000,353118140.17
15000.0,0.7,25000.0,18.75,50000.0,0.0331,0.8,2000,353118140.17
15000.0,0.7,25000.0,18.75,50000.0,0.0403,0.8,2000,353118140.17
15000.0,0.7,25000.0,18.75,50000.0,0.0475,0.8,2000,353118140.17
15000.0,0.7,30000.0,12.5,50000.0,0.0187,0.8,2000,313281155.41
15000.0,0.7,30000.0,12.5,50000.0,0.0259,0.8,2000,313281155.41
15000.0,0.7,30000.0,12.5,50000.0,0.0331,0.8,2000,313281155.41
15000.0,0.7,30000.0,12.5,50000.0,0.0403,0.8,2000,313281155.41
15000.0,0.7,30000.0,12.5,50000.0,0.0475,0.8,2000,313281155.41
